Player,Position,Team,Opponent,CBS_FantasyPoints
EJ Manuel,QB,OAK,,0
Taylor Heinicke,QB,NE,,0
Ryan Mallett,QB,BAL,,0
Matt Simms,QB,ATL,,0
Ryan Fitzpatrick,QB,TB,,0
Patrick Mahomes,QB,KC,,0
Colt McCoy,QB,WAS,,0
AJ McCarron,QB,CIN,,0
Connor Shaw,QB,CHI,,0
Nathan Peterman,QB,BUF,,0
Kellen Moore,QB,DAL,,0
Mark Sanchez,QB,CHI,,0
Brock Osweiler,QB,DEN,,0
Ryan Griffin,QB,TB,,0
Le'Veon Bell,RB,PIT,,21
Ezekiel Elliott,RB,DAL,,19
LeSean McCoy,RB,BUF,,17
Melvin Gordon,RB,LAC,,15
Mark Ingram,RB,NO,,15
Jordan Howard,RB,CHI,,14
Christian McCaffrey,RB,CAR,,14
Kareem Hunt,RB,KC,,14
Devonta Freeman,RB,ATL,,14
Alvin Kamara,RB,NO,,13
Joe Mixon,RB,CIN,,13
Chris Thompson,RB,WAS,,11
Javorius Allen,RB,BAL,,11
Carlos Hyde,RB,SF,,11
Tarik Cohen,RB,CHI,,11
Lamar Miller,RB,HOU,,11
LeGarrette Blount,RB,PHI,,11
Doug Martin,RB,TB,,10
Jay Ajayi,RB,MIA,,10
Bilal Powell,RB,NYJ,,10
Ameer Abdullah,RB,DET,,9
Matt Forte,RB,NYJ,,9
Duke Johnson,RB,CLE,,9
DeAndre Washington,RB,OAK,,9
Jerick McKinnon,RB,MIN,,9
Tevin Coleman,RB,ATL,,9
Jalen Richard,RB,OAK,,8
Frank Gore,RB,IND,,8
James White,RB,NE,,8
Giovani Bernard,RB,CIN,,8
Isaiah Crowell,RB,CLE,,8
C.J. Anderson,RB,DEN,,7
C.J. Prosise,RB,SEA,,7
Marlon Mack,RB,IND,,7
Dion Lewis,RB,NE,,6
Alex Collins,RB,BAL,,6
Theo Riddick,RB,DET,,6
Jonathan Stewart,RB,CAR,,6
Rob Kelley,RB,WAS,,6
Wendell Smallwood,RB,PHI,,5
Thomas Rawls,RB,SEA,,5
Mike Gillislee,RB,NE,,5
Latavius Murray,RB,MIN,,5
Charcandrick West,RB,KC,,5
Eddie Lacy,RB,SEA,,5
Devontae Booker,RB,DEN,,4
Austin Ekeler,RB,LAC,,4
Mike Tolbert,RB,BUF,,4
D'Onta Foreman,RB,HOU,,4
Rex Burkhead,RB,NE,,4
Kyle Juszczyk,RB,SF,,3
Matt Breida,RB,SF,,3
Jamaal Charles,RB,DEN,,3
Jeremy Hill,RB,CIN,,2
Samaje Perine,RB,WAS,,2
Benny Cunningham,RB,CHI,,2
Branden Oliver,RB,LAC,,2
Kenyan Drake,RB,MIA,,2
Alfred Morris,RB,DAL,,2
Kenjon Barner,RB,PHI,,2
Jacquizz Rodgers,RB,TB,,2
James Conner,RB,PIT,,2
Darren McFadden,RB,DAL,,1
Dwayne Washington,RB,DET,,1
Jamize Olawale,RB,OAK,,1
Damien Williams,RB,MIA,,0
Charles Sims,RB,TB,,0
Travaris Cadet,RB,NYJ,,0
Keith Smith,RB,DAL,,0
Zach Line,RB,NO,,0
Anthony Sherman,RB,KC,,0
Patrick DiMarco,RB,BUF,,0
Danny Vitale,RB,CLE,,0
James Develin,RB,NE,,0
Daniel Lasco,RB,NO,,0
Brian Hill,RB,ATL,,0
Alfred Blue,RB,HOU,,0
D.J. Foster,RB,ARI,,0
Mack Brown,RB,WAS,,0
Taiwan Jones,RB,BUF,,0
Zach Zenner,RB,DET,,0
De'Angelo Henderson,RB,DEN,,0
Andy Janovich,RB,DEN,,0
Akeem Hunt,RB,KC,,0
Matt Jones,RB,IND,,0
Michael Burton,RB,CHI,,0
Corey Clement,RB,PHI,,0
Derek Watt,RB,LAC,,0
Terron Ward,RB,ATL,,0
Roosevelt Nix-Jones,RB,PIT,,0
Matt Dayes,RB,CLE,,0
Cameron Artis-Payne,RB,CAR,,0
Jay Prosch,RB,HOU,,0
Elijah McGuire,RB,NYJ,,0
Tre Madden,RB,SEA,,0
Stevan Ridley,RB,MIN,,0
Andre Williams,RB,LAC,,0
Cedric Peerman,RB,CIN,,0
Mike James,RB,DET,,0
C.J. Ham,RB,MIN,,0
Rod Smith,RB,DAL,,0
Terrell Watson,RB,PIT,,0
Ka'Deem Carey,RB,CHI,,0
Bobby Rainey,RB,BAL,,0
Alex Armah,RB,CAR,,0
Josh Ferguson,RB,IND,,0
Peyton Barber,RB,TB,,0
Keith Marshall,RB,WAS,,0
John Kuhn,RB,NO,,0
Joe Williams,RB,SF,,0
Joe Banyard,RB,BUF,,0
Brandon Wilds,RB,JAC,,0
C.J. Spiller,RB,KC,,0
Taquan Mizzell,RB,CHI,,0
Tyler Gaffney,RB,JAC,,0
Derrick Coleman,RB,ATL,,0
Senorise Perry,RB,MIA,,0
Bishop Sankey,RB,MIN,,0
Raheem Mostert,RB,SF,,0
Antonio Brown,WR,PIT,,20
Julio Jones,WR,ATL,,17
A.J. Green,WR,CIN,,16
Jarvis Landry,WR,MIA,,15
Mike Evans,WR,TB,,14
Dez Bryant,WR,DAL,,14
Alshon Jeffery,WR,PHI,,13
DeAndre Hopkins,WR,HOU,,13
Doug Baldwin,WR,SEA,,12
Michael Crabtree,WR,OAK,,12
Michael Thomas,WR,NO,,12
Amari Cooper,WR,OAK,,12
Brandin Cooks,WR,NE,,12
Kelvin Benjamin,WR,CAR,,12
Keenan Allen,WR,LAC,,12
Stefon Diggs,WR,MIN,,11
Demaryius Thomas,WR,DEN,,11
T.Y. Hilton,WR,IND,,11
Chris Hogan,WR,NE,,11
Adam Thielen,WR,MIN,,10
Pierre Garcon,WR,SF,,10
Nelson Agholor,WR,PHI,,10
Devin Funchess,WR,CAR,,10
Tyreek Hill,WR,KC,,10
Marvin Jones,WR,DET,,10
DeSean Jackson,WR,TB,,9
Jermaine Kearse,WR,NYJ,,9
Kenny Stills,WR,MIA,,9
Donte Moncrief,WR,IND,,9
Paul Richardson,WR,SEA,,9
Danny Amendola,WR,NE,,9
Ted Ginn,WR,NO,,9
Terrelle Pryor,WR,WAS,,8
Mohamed Sanu,WR,ATL,,8
Terrance Williams,WR,DAL,,8
Willie Snead,WR,NO,,8
Emmanuel Sanders,WR,DEN,,8
JuJu Smith-Schuster,WR,PIT,,8
Robby Anderson,WR,NYJ,,8
Cole Beasley,WR,DAL,,8
Kenny Golladay,WR,DET,,8
Jeremy Maclin,WR,BAL,,8
Torrey Smith,WR,PHI,,8
Will Fuller,WR,HOU,,7
Jeremy Kerley,WR,NYJ,,7
Josh Doctson,WR,WAS,,7
Adam Humphries,WR,TB,,7
Brandon LaFell,WR,CIN,,7
Mike Williams,WR,LAC,,7
Marquise Goodwin,WR,SF,,7
Tyrell Williams,WR,LAC,,7
Taylor Gabriel,WR,ATL,,6
Jordan Matthews,WR,BUF,,6
Tyler Lockett,WR,SEA,,6
Chris Godwin,WR,TB,,6
Jamison Crowder,WR,WAS,,6
DeVante Parker,WR,MIA,,6
Deonte Thompson,WR,BUF,,6
Kendall Wright,WR,CHI,,6
Mike Wallace,WR,BAL,,5
Albert Wilson,WR,KC,,5
Brandon Coleman,WR,NO,,5
Brice Butler,WR,DAL,,5
Bennie Fowler,WR,DEN,,5
Travis Benjamin,WR,LAC,,5
Seth Roberts,WR,OAK,,5
Chris Moore,WR,BAL,,5
Ryan Grant,WR,WAS,,5
Trent Taylor,WR,SF,,5
Kamar Aiken,WR,IND,,5
Justin Hardy,WR,ATL,,5
Michael Campanaro,WR,BAL,,4
T.J. Jones,WR,DET,,4
Bruce Ellington,WR,HOU,,4
Kenny Britt,WR,CLE,,4
Eli Rogers,WR,PIT,,4
Curtis Samuel,WR,CAR,,4
Zay Jones,WR,BUF,,4
Tommylee Lewis,WR,NO,,4
Russell Shepard,WR,CAR,,4
Michael Floyd,WR,MIN,,4
Kasen Williams,WR,CLE,,4
Andre Holmes,WR,BUF,,4
Cordarrelle Patterson,WR,OAK,,4
Kaelin Clay,WR,CAR,,4
Alex Erickson,WR,CIN,,4
Ricardo Louis,WR,CLE,,4
John Ross,WR,CIN,,3
Tanner Gentry,WR,CHI,,3
De'Anthony Thomas,WR,KC,,3
Laquon Treadwell,WR,MIN,,3
Demarcus Robinson,WR,KC,,3
Breshad Perriman,WR,BAL,,3
Jarius Wright,WR,MIN,,3
ArDarius Stewart,WR,NYJ,,3
Aldrick Robinson,WR,SF,,3
Brandon Tate,WR,BUF,,3
Dontrelle Inman,WR,LAC,,3
Rashard Higgins,WR,CLE,,2
Tre McBride,WR,CHI,,2
Tyler Boyd,WR,CIN,,2
Bryce Treggs,WR,CLE,,2
Chester Rogers,WR,IND,,2
Justin Hunter,WR,PIT,,1
Marvin Hall,WR,ATL,,0
Sammie Coates,WR,CLE,,0
Johnny Holton,WR,OAK,,0
Griff Whalen,WR,BAL,,0
Chris Matthews,WR,BAL,,0
Brian Quick,WR,WAS,,0
Cody Core,WR,CIN,,0
Braxton Miller,WR,HOU,,0
Nick Williams,WR,ATL,,0
Phillip Dorsett,WR,NE,,0
Max McCaffrey,WR,GB,,0
Austin Carr,WR,NO,,0
Reggie Davis,WR,ATL,,0
Amara Darboh,WR,SEA,,0
Josh Malone,WR,CIN,,0
Jehu Chesson,WR,KC,,0
Cody Latimer,WR,DEN,,0
Andre Roberts,WR,ATL,,0
Josh Bellamy,WR,CHI,,0
Mack Hollins,WR,PHI,,0
Quan Bray,WR,IND,,0
Shelton Gibson,WR,PHI,,0
Noah Brown,WR,DAL,,0
Darrius Heyward-Bey,WR,PIT,,0
Hunter Sharp,WR,DEN,,0
Geremy Davis,WR,LAC,,0
Ryan Switzer,WR,DAL,,0
Jordan Taylor,WR,DEN,,0
Jakeem Grant,WR,MIA,,0
Isaiah McKenzie,WR,DEN,,0
Leonte Carroo,WR,MIA,,0
J.D. McKissic,WR,SEA,,0
Vince Mayle,WR,BAL,,0
Tanner McEvoy,WR,SEA,,0
Chad Hansen,WR,NYJ,,0
Stacy Coley,WR,MIN,,0
Rueben Randle,WR,CHI,,0
Matthew Slater,WR,NE,,0
Jared Abbrederis,WR,DET,,0
Kalif Raymond,WR,NYG,,0
Jaydon Mickens,WR,JAC,,0
Damore'ea Stringfellow,WR,NYJ,,0
Devin Lucien,WR,IND,,0
Andy Jones,WR,DET,,0
Corey Brown,WR,BUF,,0
Jordan Leslie,WR,CLE,,0
Rashawn Scott,WR,MIA,,0
Matt Hazel,WR,IND,,0
Jalin Marshall,WR,NYJ,,0
Dom Williams,WR,PHI,,0
Rodney Adams,WR,MIN,,0
Krishawn Hogan,WR,IND,,0
Chris Thompson,WR,HOU,,0
Golden Tate,WR,DET,,0
Marcus Johnson,WR,PHI,,0
Stephen Gostkowski,K,NE,,9
Wil Lutz,K,NO,,9
Harrison Butker,K,KC,,8
Randy Bullock,K,CIN,,8
Stephen Hauschka,K,BUF,,8
Graham Gano,K,CAR,,7
Matt Bryant,K,ATL,,7
Patrick Murray,K,TB,,7
Blair Walsh,K,SEA,,7
Chris Boswell,K,PIT,,7
Nick Rose,K,WAS,,7
Chandler Catanzaro,K,NYJ,,6
Giorgio Tavecchio,K,OAK,,6
Justin Tucker,K,BAL,,6
Kai Forbath,K,MIN,,6
Adam Vinatieri,K,IND,,6
Robbie Gould,K,SF,,6
Matt Prater,K,DET,,6
Connor Barth,K,CHI,,5
Nick Novak,K,LAC,,5
Brandon McManus,K,DEN,,5
Ka'imi Fairbairn,K,HOU,,5
Cody Parkey,K,MIA,,5
Zane Gonzalez,K,CLE,,3
Devon Bell,K,IND,,0
Mike Meyer,K,ATL,,0
Nick Folk,K,TB,,0
Shayne Graham,K,ATL,,0
Andrew Franks,K,MIA,,0
John Lunsford,K,SEA,,0
Zach Hocker,K,TB,,0
Mike Nugent,K,DAL,,0
Younghoe Koo,K,LAC,,0
Jon Brown,K,CIN,,0
Roberto Aguayo,K,CHI,,0
Zach Ertz,TE,PHI,,14
Rob Gronkowski,TE,NE,,14
Tyler Kroft,TE,CIN,,10
Travis Kelce,TE,KC,,10
Jordan Reed,TE,WAS,,9
Jason Witten,TE,DAL,,9
Jimmy Graham,TE,SEA,,9
Jack Doyle,TE,IND,,9
Austin Seferian-Jenkins,TE,NYJ,,9
Ed Dickson,TE,CAR,,9
Hunter Henry,TE,LAC,,9
Jared Cook,TE,OAK,,8
Kyle Rudolph,TE,MIN,,8
Austin Hooper,TE,ATL,,8
Cameron Brate,TE,TB,,8
Benjamin Watson,TE,BAL,,7
O.J. Howard,TE,TB,,7
Vernon Davis,TE,WAS,,7
Eric Ebron,TE,DET,,7
Coby Fleener,TE,NO,,6
Julius Thomas,TE,MIA,,6
A.J. Derby,TE,DEN,,6
Jesse James,TE,PIT,,6
Zach Miller,TE,CHI,,6
George Kittle,TE,SF,,5
Ryan Griffin,TE,HOU,,5
Trey Burton,TE,PHI,,5
Nick O'Leary,TE,BUF,,5
Vance McDonald,TE,PIT,,5
Antonio Gates,TE,LAC,,4
Michael Hoomanawanui,TE,NO,,4
David Njoku,TE,CLE,,4
Darren Fells,TE,DET,,4
Luke Willson,TE,SEA,,4
Garrett Celek,TE,SF,,4
Logan Thomas,TE,BUF,,4
Jeff Heuerman,TE,DEN,,3
Demetrius Harris,TE,KC,,3
Seth DeValve,TE,CLE,,3
Virgil Green,TE,DEN,,3
Eric Tomlinson,TE,NYJ,,2
Stephen Anderson,TE,HOU,,2
Dion Sims,TE,CHI,,2
Adam Shaheen,TE,CHI,,2
Dwayne Allen,TE,NE,,1
Nick Boyle,TE,BAL,,1
Maxx Williams,TE,BAL,,0
Clive Walford,TE,OAK,,0
Brent Celek,TE,PHI,,0
Geoff Swaim,TE,DAL,,0
Ross Travis,TE,KC,,0
Brandon Williams,TE,IND,,0
Anthony Fasano,TE,MIA,,0
Jim Dray,TE,ARI,,0
Luke Stocker,TE,TB,,0
C.J. Uzomah,TE,CIN,,0
Jeremy Sprinkle,TE,WAS,,0
Daniel Brown,TE,CHI,,0
Xavier Grimble,TE,PIT,,0
Lee Smith,TE,OAK,,0
Jacob Hollister,TE,NE,,0
Blake Bell,TE,MIN,,0
Nick Vannett,TE,SEA,,0
Darrell Daniels,TE,IND,,0
MarQueis Gray,TE,MIA,,0
Niles Paul,TE,WAS,,0
Sean McGrath,TE,LAC,,0
Randall Telfer,TE,CLE,,0
Eric Saubert,TE,ATL,,0
Logan Paulsen,TE,SF,,0
Josh Hill,TE,NO,,0
Trey Edmunds,TE,NO,,0
Evan Baylis,TE,IND,,0
Ryan Hewitt,TE,CIN,,0
Michael Roberts,TE,DET,,0
Khari Lee,TE,BUF,,0
David Morgan,TE,MIN,,0
Levine Toilolo,TE,ATL,,0
Henry Krieger-Coble,TE,IND,,0
Will Tye,TE,NE,,0
Chris Manhertz,TE,CAR,,0
Jordan Leggett,TE,NYJ,,0
Gavin Escobar,TE,BAL,,0
Chris Gragg,TE,NYJ,,0
RaShaun Allen,TE,HOU,,0
Alan Cross,TE,TB,,0
Matt Lengel,TE,CLE,,0
Seahawks,DST,SEA,,16
Eagles,DST,PHI,,14
Ravens,DST,BAL,,14
Dolphins,DST,MIA,,13
Steelers,DST,PIT,,13
Chiefs,DST,KC,,13
Bengals,DST,CIN,,13
Buccaneers,DST,TB,,12
Saints,DST,NO,,11
Cowboys,DST,DAL,,11
Falcons,DST,ATL,,11
Browns,DST,CLE,,11
Patriots,DST,NE,,10
Panthers,DST,CAR,,10
Bills,DST,BUF,,10
Texans,DST,HOU,,10
Broncos,DST,DEN,,9
Colts,DST,IND,,9
Raiders,DST,OAK,,7
Lions,DST,DET,,7
Redskins,DST,WAS,,7
Jets,DST,NYJ,,7
Chargers,DST,LAC,,6
49ers,DST,SF,,6
