"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Aaron Rodgers",6800,"NO@GB 10/22/2017 01:00PM ET",20.117,"GB"
"WR","Jordy Nelson",6800,"NO@GB 10/22/2017 01:00PM ET",15.000,"GB"
"WR","Jarvis Landry",6800,"NYJ@MIA 10/22/2017 01:00PM ET",15.300,"MIA"
"RB","Mark Ingram",6700,"NO@GB 10/22/2017 01:00PM ET",15.700,"NO"
"WR","Adam Thielen",6700,"BAL@MIN 10/22/2017 01:00PM ET",14.833,"MIN"
"QB","Carson Wentz",6700,"WAS@PHI 10/23/2017 08:30PM ET",22.443,"PHI"
"QB","Carson Palmer",6600,"ARI@LAR 10/22/2017 01:00PM ET",19.080,"ARI"
"WR","Doug Baldwin",6600,"SEA@NYG 10/22/2017 04:25PM ET",13.220,"SEA"
"RB","David Johnson",6500,"ARI@LAR 10/22/2017 01:00PM ET",14.100,"ARI"
"WR","DeVante Parker",6500,"NYJ@MIA 10/22/2017 01:00PM ET",12.150,"MIA"
"QB","Kirk Cousins",6500,"WAS@PHI 10/23/2017 08:30PM ET",21.532,"WAS"
"RB","Jordan Howard",6400,"CAR@CHI 10/22/2017 01:00PM ET",15.867,"CHI"
"QB","Russell Wilson",6400,"SEA@NYG 10/22/2017 04:25PM ET",20.656,"SEA"
"RB","Jerick McKinnon",6300,"BAL@MIN 10/22/2017 01:00PM ET",11.017,"MIN"
"WR","Keenan Allen",6300,"DEN@LAC 10/22/2017 04:25PM ET",14.933,"LAC"
"RB","DeMarco Murray",6200,"TEN@CLE 10/22/2017 01:00PM ET",11.317,"TEN"
"RB","Jay Ajayi",6200,"NYJ@MIA 10/22/2017 01:00PM ET",10.680,"MIA"
"QB","Ben Roethlisberger",6200,"CIN@PIT 10/22/2017 04:25PM ET",13.707,"PIT"
"WR","Alshon Jeffery",6200,"WAS@PHI 10/23/2017 08:30PM ET",11.617,"PHI"
"RB","Christian McCaffrey",6100,"CAR@CHI 10/22/2017 01:00PM ET",15.117,"CAR"
"WR","T.Y. Hilton",6100,"JAX@IND 10/22/2017 01:00PM ET",14.083,"IND"
"QB","Jameis Winston",6000,"TB@BUF 10/22/2017 01:00PM ET",17.472,"TB"
"WR","Devin Funchess",6000,"CAR@CHI 10/22/2017 01:00PM ET",12.583,"CAR"
"RB","Doug Martin",5900,"TB@BUF 10/22/2017 01:00PM ET",15.300,"TB"
"QB","Sam Bradford",5900,"BAL@MIN 10/22/2017 01:00PM ET",14.990,"MIN"
"RB","Carlos Hyde",5900,"DAL@SF 10/22/2017 04:05PM ET",16.700,"SF"
"WR","Emmanuel Sanders",5900,"DEN@LAC 10/22/2017 04:25PM ET",12.720,"DEN"
"TE","Delanie Walker",5800,"TEN@CLE 10/22/2017 01:00PM ET",9.483,"TEN"
"WR","Davante Adams",5800,"NO@GB 10/22/2017 01:00PM ET",15.317,"GB"
"RB","Adrian Peterson",5800,"ARI@LAR 10/22/2017 01:00PM ET",7.780,"ARI"
"QB","Jared Goff",5800,"ARI@LAR 10/22/2017 01:00PM ET",15.627,"LAR"
"WR","Pierre Garcon",5800,"DAL@SF 10/22/2017 04:05PM ET",13.233,"SF"
"WR","Demaryius Thomas",5800,"DEN@LAC 10/22/2017 04:25PM ET",13.600,"DEN"
"WR","DeSean Jackson",5700,"TB@BUF 10/22/2017 01:00PM ET",12.140,"TB"
"QB","Andy Dalton",5700,"CIN@PIT 10/22/2017 04:25PM ET",15.080,"CIN"
"RB","Darren McFadden",5700,"DAL@SF 10/22/2017 04:05PM ET",0,"DAL"
"RB","Chris Thompson",5700,"WAS@PHI 10/23/2017 08:30PM ET",19.700,"WAS"
"QB","Derek Anderson",5600,"CAR@CHI 10/22/2017 01:00PM ET",0.680,"CAR"
"RB","Alvin Kamara",5600,"NO@GB 10/22/2017 01:00PM ET",13.540,"NO"
"WR","Danny Amendola",5600,"ATL@NE 10/22/2017 08:30PM ET",13.140,"NE"
"WR","Rishard Matthews",5500,"TEN@CLE 10/22/2017 01:00PM ET",10.833,"TEN"
"RB","Derrick Henry",5500,"TEN@CLE 10/22/2017 01:00PM ET",8.533,"TEN"
"RB","Ty Montgomery",5500,"NO@GB 10/22/2017 01:00PM ET",13.640,"GB"
"QB","Andrew Luck",5500,"JAX@IND 10/22/2017 01:00PM ET",0,"IND"
"QB","Jimmy Garoppolo",5500,"ATL@NE 10/22/2017 08:30PM ET",0,"NE"
"RB","Alfred Morris",5400,"DAL@SF 10/22/2017 04:05PM ET",2.175,"DAL"
"QB","Trevor Siemian",5400,"DEN@LAC 10/22/2017 04:25PM ET",18.012,"DEN"
"WR","Randall Cobb",5300,"NO@GB 10/22/2017 01:00PM ET",11.520,"GB"
"RB","Javorius Allen",5300,"BAL@MIN 10/22/2017 01:00PM ET",12.417,"BAL"
"QB","Philip Rivers",5300,"DEN@LAC 10/22/2017 04:25PM ET",17.570,"LAC"
"WR","Terrelle Pryor Sr.",5300,"WAS@PHI 10/23/2017 08:30PM ET",8.580,"WAS"
"RB","Aaron Jones",5200,"NO@GB 10/22/2017 01:00PM ET",7.900,"GB"
"QB","Josh McCown",5200,"NYJ@MIA 10/22/2017 01:00PM ET",14.927,"NYJ"
"WR","Sterling Shepard",5200,"SEA@NYG 10/22/2017 04:25PM ET",11.720,"NYG"
"QB","Tyrod Taylor",5100,"TB@BUF 10/22/2017 01:00PM ET",14.100,"BUF"
"QB","Brett Hundley",5100,"NO@GB 10/22/2017 01:00PM ET",3.790,"GB"
"RB","Bilal Powell",5100,"NYJ@MIA 10/22/2017 01:00PM ET",11.840,"NYJ"
"QB","Ryan Fitzpatrick",5000,"TB@BUF 10/22/2017 01:00PM ET",11.200,"TB"
"QB","Matt Cassel",5000,"TEN@CLE 10/22/2017 01:00PM ET",3.240,"TEN"
"QB","Kevin Hogan",5000,"TEN@CLE 10/22/2017 01:00PM ET",9.695,"CLE"
"QB","Jacoby Brissett",5000,"JAX@IND 10/22/2017 01:00PM ET",14.527,"IND"
"TE","Austin Seferian-Jenkins",5000,"NYJ@MIA 10/22/2017 01:00PM ET",12.300,"NYJ"
"QB","Case Keenum",5000,"BAL@MIN 10/22/2017 01:00PM ET",14.572,"MIN"
"RB","Joe Mixon",5000,"CIN@PIT 10/22/2017 04:25PM ET",8.700,"CIN"
"WR","Cole Beasley",5000,"DAL@SF 10/22/2017 04:05PM ET",7.580,"DAL"
"RB","James White",5000,"ATL@NE 10/22/2017 08:30PM ET",11.350,"NE"
"RB","Duke Johnson Jr.",4900,"TEN@CLE 10/22/2017 01:00PM ET",13.767,"CLE"
"QB","DeShone Kizer",4900,"TEN@CLE 10/22/2017 01:00PM ET",11.928,"CLE"
"WR","John Brown",4900,"ARI@LAR 10/22/2017 01:00PM ET",10.450,"ARI"
"QB","C.J. Beathard",4900,"DAL@SF 10/22/2017 04:05PM ET",7.100,"SF"
"TE","Jimmy Graham",4900,"SEA@NYG 10/22/2017 04:25PM ET",8.980,"SEA"
"WR","Taylor Gabriel",4900,"ATL@NE 10/22/2017 08:30PM ET",7.500,"ATL"
"WR","Nelson Agholor",4900,"WAS@PHI 10/23/2017 08:30PM ET",12.683,"PHI"
"WR","Corey Coleman",4800,"TEN@CLE 10/22/2017 01:00PM ET",9.100,"CLE"
"RB","Chris Ivory",4800,"JAX@IND 10/22/2017 01:00PM ET",8.750,"JAX"
"QB","Brian Hoyer",4800,"DAL@SF 10/22/2017 04:05PM ET",12.250,"SF"
"QB","Eli Manning",4800,"SEA@NYG 10/22/2017 04:25PM ET",16.623,"NYG"
"WR","Mohamed Sanu",4800,"ATL@NE 10/22/2017 08:30PM ET",9.675,"ATL"
"RB","Tevin Coleman",4800,"ATL@NE 10/22/2017 08:30PM ET",12.640,"ATL"
"TE","Jordan Reed",4800,"WAS@PHI 10/23/2017 08:30PM ET",8.050,"WAS"
"TE","Cameron Brate",4700,"TB@BUF 10/22/2017 01:00PM ET",14.620,"TB"
"RB","Tarik Cohen",4700,"CAR@CHI 10/22/2017 01:00PM ET",12.290,"CHI"
"QB","Blake Bortles",4700,"JAX@IND 10/22/2017 01:00PM ET",13.553,"JAX"
"QB","Jay Cutler",4700,"NYJ@MIA 10/22/2017 01:00PM ET",10.456,"MIA"
"WR","Jermaine Kearse",4700,"NYJ@MIA 10/22/2017 01:00PM ET",12.317,"NYJ"
"QB","Joe Flacco",4700,"BAL@MIN 10/22/2017 01:00PM ET",8.303,"BAL"
"QB","AJ McCarron",4700,"CIN@PIT 10/22/2017 04:25PM ET",0.000,"CIN"
"RB","Dion Lewis",4700,"ATL@NE 10/22/2017 08:30PM ET",6.383,"NE"
"QB","Colt McCoy",4700,"WAS@PHI 10/23/2017 08:30PM ET",0,"WAS"
"RB","Wendell Smallwood",4700,"WAS@PHI 10/23/2017 08:30PM ET",7.475,"PHI"
"TE","Greg Olsen",4600,"CAR@CHI 10/22/2017 01:00PM ET",2.900,"CAR"
"QB","Mitchell Trubisky",4600,"CAR@CHI 10/22/2017 01:00PM ET",7.347,"CHI"
"QB","Chase Daniel",4600,"NO@GB 10/22/2017 01:00PM ET",0,"NO"
"WR","Cooper Kupp",4600,"ARI@LAR 10/22/2017 01:00PM ET",9.583,"LAR"
"WR","Corey Davis",4500,"TEN@CLE 10/22/2017 01:00PM ET",7.150,"TEN"
"QB","Joe Callahan",4500,"NO@GB 10/22/2017 01:00PM ET",0,"GB"
"QB","Matt Moore",4500,"NYJ@MIA 10/22/2017 01:00PM ET",0,"MIA"
"RB","Matt Forte",4500,"NYJ@MIA 10/22/2017 01:00PM ET",9.575,"NYJ"
"QB","Landry Jones",4500,"CIN@PIT 10/22/2017 04:25PM ET",0,"PIT"
"RB","James Conner",4500,"CIN@PIT 10/22/2017 04:25PM ET",1.150,"PIT"
"TE","Jason Witten",4500,"DAL@SF 10/22/2017 04:05PM ET",12.180,"DAL"
"QB","Cooper Rush",4500,"DAL@SF 10/22/2017 04:05PM ET",0,"DAL"
"QB","Cardale Jones",4500,"DEN@LAC 10/22/2017 04:25PM ET",0,"LAC"
"QB","Geno Smith",4500,"SEA@NYG 10/22/2017 04:25PM ET",0,"NYG"
"RB","Mike Gillislee",4500,"ATL@NE 10/22/2017 08:30PM ET",8.667,"NE"
"RB","LeGarrette Blount",4500,"WAS@PHI 10/23/2017 08:30PM ET",10.183,"PHI"
"QB","Mike Glennon",4400,"CAR@CHI 10/22/2017 01:00PM ET",11.180,"CHI"
"WR","Jaron Brown",4400,"ARI@LAR 10/22/2017 01:00PM ET",9.067,"ARI"
"WR","Sammy Watkins",4400,"ARI@LAR 10/22/2017 01:00PM ET",8.700,"LAR"
"WR","Kenny Stills",4400,"NYJ@MIA 10/22/2017 01:00PM ET",8.460,"MIA"
"RB","Matt Breida",4400,"DAL@SF 10/22/2017 04:05PM ET",5.083,"SF"
"TE","Evan Engram",4400,"SEA@NYG 10/22/2017 04:25PM ET",10.700,"NYG"
"QB","Nick Foles",4400,"WAS@PHI 10/23/2017 08:30PM ET",0,"PHI"
"WR","Eric Decker",4300,"TEN@CLE 10/22/2017 01:00PM ET",7.600,"TEN"
"QB","Chad Henne",4300,"JAX@IND 10/22/2017 01:00PM ET",-0.300,"JAX"
"QB","Scott Tolzien",4300,"JAX@IND 10/22/2017 01:00PM ET",3.320,"IND"
"WR","Marqise Lee",4300,"JAX@IND 10/22/2017 01:00PM ET",8.467,"JAX"
"RB","T.J. Yeldon",4300,"JAX@IND 10/22/2017 01:00PM ET",0,"JAX"
"QB","Blaine Gabbert",4300,"ARI@LAR 10/22/2017 01:00PM ET",0,"ARI"
"RB","Andre Ellington",4300,"ARI@LAR 10/22/2017 01:00PM ET",9.767,"ARI"
"WR","Martavis Bryant",4300,"CIN@PIT 10/22/2017 04:25PM ET",8.017,"PIT"
"QB","Austin Davis",4300,"SEA@NYG 10/22/2017 04:25PM ET",0,"SEA"
"QB","Matt Schaub",4300,"ATL@NE 10/22/2017 08:30PM ET",0.000,"ATL"
"RB","Samaje Perine",4300,"WAS@PHI 10/23/2017 08:30PM ET",5.920,"WAS"
"WR","Adam Humphries",4200,"TB@BUF 10/22/2017 01:00PM ET",9.760,"TB"
"WR","Ricardo Louis",4200,"TEN@CLE 10/22/2017 01:00PM ET",6.817,"CLE"
"RB","Jamaal Williams",4200,"NO@GB 10/22/2017 01:00PM ET",1.000,"GB"
"QB","Sean Mannion",4200,"ARI@LAR 10/22/2017 01:00PM ET",-0.220,"LAR"
"WR","Robby Anderson",4200,"NYJ@MIA 10/22/2017 01:00PM ET",8.933,"NYJ"
"RB","Elijah McGuire",4200,"NYJ@MIA 10/22/2017 01:00PM ET",5.883,"NYJ"
"WR","Jeremy Maclin",4200,"BAL@MIN 10/22/2017 01:00PM ET",8.780,"BAL"
"TE","Hunter Henry",4200,"DEN@LAC 10/22/2017 04:25PM ET",8.633,"LAC"
"WR","Paul Richardson",4200,"SEA@NYG 10/22/2017 04:25PM ET",9.360,"SEA"
"WR","Jamison Crowder",4200,"WAS@PHI 10/23/2017 08:30PM ET",5.640,"WAS"
"RB","Rob Kelley",4200,"WAS@PHI 10/23/2017 08:30PM ET",4.367,"WAS"
"WR","Ted Ginn Jr.",4100,"NO@GB 10/22/2017 01:00PM ET",10.280,"NO"
"RB","Frank Gore",4100,"JAX@IND 10/22/2017 01:00PM ET",10.133,"IND"
"WR","Allen Hurns",4100,"JAX@IND 10/22/2017 01:00PM ET",9.567,"JAX"
"RB","Marlon Mack",4100,"JAX@IND 10/22/2017 01:00PM ET",7.850,"IND"
"WR","Jeremy Kerley",4100,"NYJ@MIA 10/22/2017 01:00PM ET",8.860,"NYJ"
"WR","Mike Wallace",4100,"BAL@MIN 10/22/2017 01:00PM ET",8.050,"BAL"
"RB","Jamaal Charles",4100,"DEN@LAC 10/22/2017 04:25PM ET",6.140,"DEN"
"QB","Brock Osweiler",4100,"DEN@LAC 10/22/2017 04:25PM ET",0.620,"DEN"
"WR","Tyler Lockett",4100,"SEA@NYG 10/22/2017 04:25PM ET",7.720,"SEA"
"RB","Thomas Rawls",4100,"SEA@NYG 10/22/2017 04:25PM ET",1.967,"SEA"
"RB","C.J. Prosise",4100,"SEA@NYG 10/22/2017 04:25PM ET",5.567,"SEA"
"TE","Austin Hooper",4100,"ATL@NE 10/22/2017 08:30PM ET",10.040,"ATL"
"QB","Joe Webb",4000,"TB@BUF 10/22/2017 01:00PM ET",0.000,"BUF"
"TE","Charles Clay",4000,"TB@BUF 10/22/2017 01:00PM ET",12.160,"BUF"
"RB","Jacquizz Rodgers",4000,"TB@BUF 10/22/2017 01:00PM ET",6.240,"TB"
"QB","Ryan Griffin",4000,"TB@BUF 10/22/2017 01:00PM ET",0,"TB"
"QB","Nathan Peterman",4000,"TB@BUF 10/22/2017 01:00PM ET",0,"BUF"
"QB","Mark Sanchez",4000,"CAR@CHI 10/22/2017 01:00PM ET",0,"CHI"
"QB","Garrett Gilbert",4000,"CAR@CHI 10/22/2017 01:00PM ET",0,"CAR"
"QB","Brad Kaaya",4000,"CAR@CHI 10/22/2017 01:00PM ET",0,"CAR"
"WR","Kenny Britt",4000,"TEN@CLE 10/22/2017 01:00PM ET",6.525,"CLE"
"QB","Brandon Weeden",4000,"TEN@CLE 10/22/2017 01:00PM ET",0,"TEN"
"WR","Josh Gordon",4000,"TEN@CLE 10/22/2017 01:00PM ET",0,"CLE"
"QB","Cody Kessler",4000,"TEN@CLE 10/22/2017 01:00PM ET",0,"CLE"
"RB","Isaiah Crowell",4000,"TEN@CLE 10/22/2017 01:00PM ET",7.233,"CLE"
"QB","Taysom Hill",4000,"NO@GB 10/22/2017 01:00PM ET",0,"NO"
"WR","Willie Snead",4000,"NO@GB 10/22/2017 01:00PM ET",2.100,"NO"
"QB","Drew Stanton",4000,"ARI@LAR 10/22/2017 01:00PM ET",0,"ARI"
"WR","Robert Woods",4000,"ARI@LAR 10/22/2017 01:00PM ET",9.500,"LAR"
"WR","J.J. Nelson",4000,"ARI@LAR 10/22/2017 01:00PM ET",10.283,"ARI"
"QB","Brandon Allen",4000,"ARI@LAR 10/22/2017 01:00PM ET",0,"LAR"
"QB","Bryce Petty",4000,"NYJ@MIA 10/22/2017 01:00PM ET",0,"NYJ"
"RB","Kenyan Drake",4000,"NYJ@MIA 10/22/2017 01:00PM ET",0.800,"MIA"
"QB","Christian Hackenberg",4000,"NYJ@MIA 10/22/2017 01:00PM ET",0,"NYJ"
"QB","Ryan Mallett",4000,"BAL@MIN 10/22/2017 01:00PM ET",5.440,"BAL"
"RB","Latavius Murray",4000,"BAL@MIN 10/22/2017 01:00PM ET",2.933,"MIN"
"QB","Teddy Bridgewater",4000,"BAL@MIN 10/22/2017 01:00PM ET",0,"MIN"
"QB","Kyle Sloter",4000,"BAL@MIN 10/22/2017 01:00PM ET",0,"MIN"
"RB","Alex Collins",4000,"BAL@MIN 10/22/2017 01:00PM ET",6.300,"BAL"
"QB","Jeff Driskel",4000,"CIN@PIT 10/22/2017 04:25PM ET",0,"CIN"
"QB","Joshua Dobbs",4000,"CIN@PIT 10/22/2017 04:25PM ET",0,"PIT"
"QB","Kellen Moore",4000,"DAL@SF 10/22/2017 04:05PM ET",0,"DAL"
"QB","Kellen Clemens",4000,"DEN@LAC 10/22/2017 04:25PM ET",0,"LAC"
"RB","Branden Oliver",4000,"DEN@LAC 10/22/2017 04:25PM ET",3.200,"LAC"
"WR","Tyrell Williams",4000,"DEN@LAC 10/22/2017 04:25PM ET",9.450,"LAC"
"QB","Chad Kelly",4000,"DEN@LAC 10/22/2017 04:25PM ET",0,"DEN"
"QB","Paxton Lynch",4000,"DEN@LAC 10/22/2017 04:25PM ET",0,"DEN"
"DST","Seahawks ",4000,"SEA@NYG 10/22/2017 04:25PM ET",10.000,"SEA"
"QB","Davis Webb",4000,"SEA@NYG 10/22/2017 04:25PM ET",0,"NYG"
"RB","Malcolm Brown",3900,"ARI@LAR 10/22/2017 01:00PM ET",3.440,"LAR"
"RB","Terrance West",3900,"BAL@MIN 10/22/2017 01:00PM ET",5.820,"BAL"
"WR","Terrance Williams",3900,"DAL@SF 10/22/2017 04:05PM ET",7.400,"DAL"
"WR","Marquise Goodwin",3900,"DAL@SF 10/22/2017 04:05PM ET",7.750,"SF"
"RB","Eddie Lacy",3900,"SEA@NYG 10/22/2017 04:25PM ET",3.100,"SEA"
"RB","Wayne Gallman",3900,"SEA@NYG 10/22/2017 04:25PM ET",10.467,"NYG"
"RB","Corey Clement",3900,"WAS@PHI 10/23/2017 08:30PM ET",2.717,"PHI"
"RB","Mike Tolbert",3800,"TB@BUF 10/22/2017 01:00PM ET",5.540,"BUF"
"RB","Jonathan Stewart",3800,"CAR@CHI 10/22/2017 01:00PM ET",6.683,"CAR"
"WR","Russell Shepard",3800,"CAR@CHI 10/22/2017 01:00PM ET",3.983,"CAR"
"RB","Corey Grant",3800,"JAX@IND 10/22/2017 01:00PM ET",2.167,"JAX"
"TE","Kyle Rudolph",3800,"BAL@MIN 10/22/2017 01:00PM ET",8.850,"MIN"
"RB","Giovani Bernard",3800,"CIN@PIT 10/22/2017 04:25PM ET",9.500,"CIN"
"WR","JuJu Smith-Schuster",3800,"CIN@PIT 10/22/2017 04:25PM ET",7.700,"PIT"
"WR","Roger Lewis",3800,"SEA@NYG 10/22/2017 04:25PM ET",4.450,"NYG"
"RB","Rex Burkhead",3800,"ATL@NE 10/22/2017 08:30PM ET",8.350,"NE"
"WR","Josh Doctson",3800,"WAS@PHI 10/23/2017 08:30PM ET",5.000,"WAS"
"WR","Jordan Matthews",3700,"TB@BUF 10/22/2017 01:00PM ET",8.050,"BUF"
"WR","Kendall Wright",3700,"CAR@CHI 10/22/2017 01:00PM ET",8.267,"CHI"
"WR","Curtis Samuel",3700,"CAR@CHI 10/22/2017 01:00PM ET",1.820,"CAR"
"DST","Jaguars ",3700,"JAX@IND 10/22/2017 01:00PM ET",14.500,"JAX"
"RB","Robert Turbin",3700,"JAX@IND 10/22/2017 01:00PM ET",4.317,"IND"
"RB","Damien Williams",3700,"NYJ@MIA 10/22/2017 01:00PM ET",2.260,"MIA"
"RB","Danny Woodhead",3700,"BAL@MIN 10/22/2017 01:00PM ET",6.700,"BAL"
"WR","Aldrick Robinson",3700,"DAL@SF 10/22/2017 04:05PM ET",5.050,"SF"
"WR","Brice Butler",3700,"DAL@SF 10/22/2017 04:05PM ET",8.140,"DAL"
"RB","Orleans Darkwa",3700,"SEA@NYG 10/22/2017 04:25PM ET",8.160,"NYG"
"WR","Justin Hardy",3700,"ATL@NE 10/22/2017 08:30PM ET",3.700,"ATL"
"WR","Phillip Dorsett",3700,"ATL@NE 10/22/2017 08:30PM ET",2.200,"NE"
"TE","Vernon Davis",3700,"WAS@PHI 10/23/2017 08:30PM ET",7.700,"WAS"
"WR","Zay Jones",3600,"TB@BUF 10/22/2017 01:00PM ET",2.320,"BUF"
"DST","Panthers ",3600,"CAR@CHI 10/22/2017 01:00PM ET",6.500,"CAR"
"TE","George Kittle",3600,"DAL@SF 10/22/2017 04:05PM ET",8.033,"SF"
"RB","De'Angelo Henderson",3600,"DEN@LAC 10/22/2017 04:25PM ET",0.033,"DEN"
"RB","Shane Vereen",3600,"SEA@NYG 10/22/2017 04:25PM ET",6.550,"NYG"
"WR","Malcolm Mitchell",3600,"ATL@NE 10/22/2017 08:30PM ET",0,"NE"
"WR","Torrey Smith",3600,"WAS@PHI 10/23/2017 08:30PM ET",6.783,"PHI"
"RB","Kenjon Barner",3600,"WAS@PHI 10/23/2017 08:30PM ET",1.633,"PHI"
"WR","Brandon Tate",3500,"TB@BUF 10/22/2017 01:00PM ET",3.500,"BUF"
"RB","Charles Sims",3500,"TB@BUF 10/22/2017 01:00PM ET",4.840,"TB"
"TE","Ed Dickson",3500,"CAR@CHI 10/22/2017 01:00PM ET",8.117,"CAR"
"WR","Geronimo Allison",3500,"NO@GB 10/22/2017 01:00PM ET",5.660,"GB"
"DST","Cowboys ",3500,"DAL@SF 10/22/2017 04:05PM ET",4.600,"DAL"
"DST","Broncos ",3500,"DEN@LAC 10/22/2017 04:25PM ET",7.400,"DEN"
"RB","Devontae Booker",3500,"DEN@LAC 10/22/2017 04:25PM ET",6.700,"DEN"
"RB","Austin Ekeler",3500,"DEN@LAC 10/22/2017 04:25PM ET",4.483,"LAC"
"WR","Andre Roberts",3500,"ATL@NE 10/22/2017 08:30PM ET",0.440,"ATL"
"WR","Marvin Hall",3500,"ATL@NE 10/22/2017 08:30PM ET",11.000,"ATL"
"WR","Ryan Grant",3500,"WAS@PHI 10/23/2017 08:30PM ET",8.160,"WAS"
"DST","Bills ",3400,"TB@BUF 10/22/2017 01:00PM ET",9.800,"BUF"
"WR","Andre Holmes",3400,"TB@BUF 10/22/2017 01:00PM ET",4.300,"BUF"
"DST","Titans ",3400,"TEN@CLE 10/22/2017 01:00PM ET",5.167,"TEN"
"WR","Kasen Williams",3400,"TEN@CLE 10/22/2017 01:00PM ET",3.480,"CLE"
"TE","Jack Doyle",3400,"JAX@IND 10/22/2017 01:00PM ET",9.860,"IND"
"RB","Jeremy Hill",3400,"CIN@PIT 10/22/2017 04:25PM ET",3.080,"CIN"
"WR","Mike Williams",3400,"DEN@LAC 10/22/2017 04:25PM ET",2.500,"LAC"
"WR","Taywan Taylor",3300,"TEN@CLE 10/22/2017 01:00PM ET",4.817,"TEN"
"TE","Martellus Bennett",3300,"NO@GB 10/22/2017 01:00PM ET",7.267,"GB"
"WR","Brandon Coleman",3300,"NO@GB 10/22/2017 01:00PM ET",7.600,"NO"
"WR","Jeff Janis",3300,"NO@GB 10/22/2017 01:00PM ET",0.000,"GB"
"WR","Donte Moncrief",3300,"JAX@IND 10/22/2017 01:00PM ET",7.683,"IND"
"DST","Vikings ",3300,"BAL@MIN 10/22/2017 01:00PM ET",6.667,"MIN"
"WR","Michael Campanaro",3300,"BAL@MIN 10/22/2017 01:00PM ET",3.733,"BAL"
"WR","Laquon Treadwell",3300,"BAL@MIN 10/22/2017 01:00PM ET",2.883,"MIN"
"WR","Brandon LaFell",3300,"CIN@PIT 10/22/2017 04:25PM ET",5.160,"CIN"
"RB","Rod Smith",3300,"DAL@SF 10/22/2017 04:05PM ET",0.720,"DAL"
"WR","Travis Benjamin",3300,"DEN@LAC 10/22/2017 04:25PM ET",7.350,"LAC"
"WR","Bennie Fowler",3300,"DEN@LAC 10/22/2017 04:25PM ET",7.800,"DEN"
"WR","Tavarres King",3300,"SEA@NYG 10/22/2017 04:25PM ET",1.700,"NYG"
"RB","J.D. McKissic",3300,"SEA@NYG 10/22/2017 04:25PM ET",13.050,"SEA"
"RB","Paul Perkins",3300,"SEA@NYG 10/22/2017 04:25PM ET",4.150,"NYG"
"WR","Ed Eagan",3300,"SEA@NYG 10/22/2017 04:25PM ET",0.000,"NYG"
"WR","Travis Rudolph",3300,"SEA@NYG 10/22/2017 04:25PM ET",0.000,"NYG"
"TE","Zach Miller",3200,"CAR@CHI 10/22/2017 01:00PM ET",8.450,"CHI"
"WR","Markus Wheaton",3200,"CAR@CHI 10/22/2017 01:00PM ET",0.633,"CHI"
"WR","Rashard Higgins",3200,"TEN@CLE 10/22/2017 01:00PM ET",4.980,"CLE"
"WR","Jaelen Strong",3200,"JAX@IND 10/22/2017 01:00PM ET",0.000,"JAX"
